Channel	ch	url0
UNIAN	unian	https://vs822.vcdn.biz/5f42cc96ddb9d7a6eb564e29d5f73130_megogo/live/hls/b/700_2490_4000/vo/63a8cf62d242847d14f8afbd/o/29514211/rsid/123b5de4-4556-4672-8e04-f661d4def681/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6677790799311748243-b700000_5423714851_74310196_453456_1672574804.ts
SONTSE	sontse	https://vs830.vcdn.biz/79616e297bb77154112c2c2a8de74c27_megogo/live/hls/b/700_2490/vo/63af74c3d242847d140b17b4/o/24891121/rsid/5b7244dc-e0c7-4700-aa37-dfae0e5b3a21/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6135742257386048970-b700000-a2461_5428180981_1872104_447440_1672726528.ts
KVARTAL TV	kvartal	https://vs826.vcdn.biz/28a46678ae7dbc31aca1f207b308a4d1_megogo/live/hls/b/700_2490_4000/vo/63a8cf2fd242847d14f8972a/o/123050771/rsid/1b6efcdc-056a-46bf-9dcb-ca5aff939434/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid2453079563205304643-b700000-a33451_5423639041_31835168_531288_1672571720.ts
1+1 UKRAINE	1+1	https://vs832.vcdn.biz/05b622d766d08f087414628a845e7c1e_megogo/live/hls/b/700_2490_4000/vo/63a8cf70d242847d14f8b531/o/157716361/rsid/c2500e8e-20ba-488e-8bc9-f0cf2749ebb8/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid3356111660271278777-b700000_5423717951_92514048_455336_1672575040.ts
STB	stb	https://vs848.vcdn.biz/6e24dc15e24c40b9d90b6b5cb83b6964_megogo/live/hls/b/700_2490_4000/vo/63b1fba2d242847d14124f4c/o/25401171/rsid/0482db93-1b14-4e54-9c9b-60778e2398c8/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid714973230492362663-b700000_5427243671_41443284_503652_1672693836.ts
ICTV2	ictv2	https://vs824.vcdn.biz/84ccfac310ead1cf4dba4bff9776b2da_megogo/live/hls/b/700_2490_4000/vo/63a90772d242847d14f9553b/o/157376081/rsid/02699d3c-a91d-4068-974a-eaf0d5a0233c/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid5332874823801413396-b700000_5423221161_40813108_453268_1672557644.ts
ICTV	ictv	https://vs834.vcdn.biz/fe5e62134f546b1b0087751500afb086_megogo/live/hls/b/700_2490_4000/vo/63b1fba6d242847d141251ba/o/25401211/rsid/4028c8f6-e0d1-47f9-9f49-b85bee71c799/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid3131665359980799654-b700000_5428607561_25961108_444996_1672740048.ts
NTN	ntn	https://vs843.vcdn.biz/0b718e59a88b4bbcc7195033e5d86d2f_megogo/live/hls/b/700_2490_4000/vo/63b1fc2bd242847d1412a34d/o/25455141/rsid/c0ee18a1-5654-4b43-8665-2c730289dbb4/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6133534673061685697-b700000_5431739241_11566512_546516_1672829148.ts
TET	tet	https://vs843.vcdn.biz/44b35713225d7d345b31cf313722da10_megogo/live/hls/b/700_2490_4000/vo/63b1fba2d242847d14124f0c/o/28887171/rsid/f60b0519-da26-40b4-8ff6-3381796b9cc6/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid7776537921434431870-b700000_5427570911_116213328_522264_1672705532.ts
NEW CHANNEL	novy	https://vs833.vcdn.biz/222ba6d59dd0165eb7cc0a932ce8ee15_megogo/live/hls/b/700_2490_4000/vo/63b1fc28d242847d1412a223/o/25401191/rsid/429b9a64-f6ed-4819-84db-e95ccbf66a20/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6104416498976799208-b700000_5427528041_48458316_421872_1672703916.ts
